"graph","logo_url"
"http://bcodmo","https://www.bco-dmo.org/files/bcodmo/images/bco-dmo-words-BLUE.jpg"
"http://ieda","http://app.iedadata.org/images/ieda_maplogo.png"
"http://opentopography","http://www.opentopography.org/sites/opentopography.org/files/ot_transp_logo.png"
