"graph","class","property"
"BCO-DMO","http://schema.org/Dataset","https://geodex.org/voc/fundedBy"
"IEDA","http://schema.org/DataDownload","http://www.w3.org/ns/dcat#accessURL"
"Open Core Data","http://schema.org/Organization","http://example.org/re3data/0.1/datalicense"
"Open Core Data","http://schema.org/Organization","http://example.org/re3data/0.1/keyword"
