"graph","class","property"
"Open Topography","http://schema.org/ProgramMembership","http://schema.org/hostingOrganization"
"Open Topography","http://schema.org/ProgramMembership","http://schema.org/programName"
"Open Topography","http://schema.org/PropertyValue","http://schema.org/additionalType"
"Open Topography","http://schema.org/PropertyValue","http://schema.org/name"
"Open Topography","http://schema.org/PropertyValue","http://schema.org/propertyID"
"Open Topography","http://schema.org/PropertyValue","http://schema.org/url"
"Open Topography","http://schema.org/PropertyValue","http://schema.org/value"
"Open Topography","http://schema.org/SearchAction","http://schema.org/query-input"
"Open Topography","http://schema.org/SearchAction","http://schema.org/target"
"UNAVCO","http://schema.org/ContactPoint","http://schema.org/contactType"
"UNAVCO","http://schema.org/ContactPoint","http://schema.org/email"
"UNAVCO","http://schema.org/ContactPoint","http://schema.org/telephone"
"UNAVCO","http://schema.org/DataCatalog","http://schema.org/name"
"UNAVCO","http://schema.org/DataDownload","http://schema.org/contentUrl"
"UNAVCO","http://schema.org/DataDownload","http://schema.org/encodingFormat"
"UNAVCO","http://schema.org/Dataset","http://schema.org/citation"
"UNAVCO","http://schema.org/Dataset","http://schema.org/creator"
"UNAVCO","http://schema.org/Dataset","http://schema.org/description"
"UNAVCO","http://schema.org/Dataset","http://schema.org/distribution"
"UNAVCO","http://schema.org/Dataset","http://schema.org/includedInDataCatalog"
"UNAVCO","http://schema.org/Dataset","http://schema.org/name"
"UNAVCO","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"UNAVCO","http://schema.org/Dataset","http://schema.org/url"
"UNAVCO","http://schema.org/GeoCoordinates","http://schema.org/latitude"
"UNAVCO","http://schema.org/GeoCoordinates","http://schema.org/longitude"
"UNAVCO","http://schema.org/Organization","http://schema.org/contactPoint"
"UNAVCO","http://schema.org/Organization","http://schema.org/name"
"UNAVCO","http://schema.org/Organization","http://schema.org/url"
"UNAVCO","http://schema.org/Place","http://schema.org/geo"
"LinkedEarth","http://schema.org/CreativeWork","http://schema.org/identifier"
"LinkedEarth","http://schema.org/CreativeWork","http://schema.org/name"
"LinkedEarth","http://schema.org/CreativeWork","http://schema.org/url"
"LinkedEarth","http://schema.org/DataDownload","http://schema.org/contentUrl"
"LinkedEarth","http://schema.org/DataDownload","http://schema.org/encodingFormat"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/Author"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/Name"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/citation"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/contributor"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/dateCreated"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/description"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/distribution"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/funder"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/includedInDataCatalog"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/keywords"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/license"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/spatialCoverage"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/url"
"LinkedEarth","http://schema.org/Dataset","http://schema.org/version"
"LinkedEarth","http://schema.org/GeoCoordinates","http://schema.org/elevation"
"LinkedEarth","http://schema.org/GeoCoordinates","http://schema.org/latitude"
"LinkedEarth","http://schema.org/GeoCoordinates","http://schema.org/longitude"
"LinkedEarth","http://schema.org/Organization","http://schema.org/name"
"LinkedEarth","http://schema.org/Person","http://schema.org/name"
"LinkedEarth","http://schema.org/Place","http://schema.org/geo"
