"graph","class","property"
"BCO-DMO","http://schema.org/GeoShape","http://schema.org/box"
"BCO-DMO","http://schema.org/GeoShape","http://schema.org/polygon"
"BCO-DMO","http://schema.org/ImageObject","http://schema.org/url"
"BCO-DMO","http://schema.org/Offer","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Offer","http://schema.org/name"
"BCO-DMO","http://schema.org/Offer","http://schema.org/offeredBy"
"BCO-DMO","http://schema.org/Offer","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/Offer","http://schema.org/url"
"BCO-DMO","http://schema.org/OfferCatalog","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/OfferCatalog","http://schema.org/itemListElement"
"BCO-DMO","http://schema.org/OfferCatalog","http://schema.org/name"
"BCO-DMO","http://schema.org/Organization","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Organization","http://schema.org/address"
"BCO-DMO","http://schema.org/Organization","http://schema.org/alternateName"
"BCO-DMO","http://schema.org/Organization","http://schema.org/availableChannel"
"BCO-DMO","http://schema.org/Organization","http://schema.org/category"
"BCO-DMO","http://schema.org/Organization","http://schema.org/contactPoint"
"BCO-DMO","http://schema.org/Organization","http://schema.org/description"
"BCO-DMO","http://schema.org/Organization","http://schema.org/foundingDate"
"BCO-DMO","http://schema.org/Organization","http://schema.org/funder"
"BCO-DMO","http://schema.org/Organization","http://schema.org/hasOfferCatalog"
"BCO-DMO","http://schema.org/Organization","http://schema.org/identifier"
"BCO-DMO","http://schema.org/Organization","http://schema.org/legalName"
"BCO-DMO","http://schema.org/Organization","http://schema.org/logo"
"BCO-DMO","http://schema.org/Organization","http://schema.org/mainContentOfPage"
"BCO-DMO","http://schema.org/Organization","http://schema.org/makesOffer"
"BCO-DMO","http://schema.org/Organization","http://schema.org/name"
"BCO-DMO","http://schema.org/Organization","http://schema.org/parentOrganization"
"BCO-DMO","http://schema.org/Organization","http://schema.org/potentialAction"
"BCO-DMO","http://schema.org/Organization","http://schema.org/provider"
"BCO-DMO","http://schema.org/Organization","http://schema.org/publishingPrinciples"
"BCO-DMO","http://schema.org/Organization","http://schema.org/sameAs"
"BCO-DMO","http://schema.org/Organization","http://schema.org/url"
"BCO-DMO","http://schema.org/Person","http://schema.org/additionalType"
"BCO-DMO","http://schema.org/Person","http://schema.org/name"
"BCO-DMO","http://schema.org/Person","http://schema.org/url"
